segment_idx,visible_edges
112,"165,179;171,178;171,179;171,192;177,178;177,179;178,171;178,177;178,179;178,180;178,190;178,191;178,192;178,202;179,165;179,171;179,172;179,177;179,178;179,180;179,181;179,191;179,192;179,193;179,203;180,178;180,179;181,179;191,178;191,179;192,171;192,178;192,179;202,178;203,179"
113,"177,178;177,179;177,190;177,191;177,201;178,171;178,177;178,179;178,180;178,190;178,191;178,192;178,202;179,177;179,178;180,178;190,177;190,178;191,177;191,178;192,178;201,177;202,178"
114,"177,178;177,179;177,190;177,191;177,201;178,177;178,190;179,177;190,177;190,178;191,177;201,177"
115,"177,178;177,179;177,190;177,191;177,201;178,177;179,177;190,177;191,177;201,177"
116,"177,178;177,179;177,190;177,191;177,201;178,177;179,177;190,177;191,177;201,177"
117,"177,178;177,179;177,190;177,191;177,201;178,177;178,190;179,177;190,177;190,178;191,177;201,177"
118,"177,190;177,191;177,201;178,190;190,177;190,178;190,191;190,192;190,200;190,201;190,202;190,211;191,177;191,190;192,190;201,177;201,190;202,190;211,190"
119,"190,200;198,200;199,200;199,201;200,190;200,198;200,199;200,201;200,202;200,209;200,210;200,211;201,199;201,200;202,200;209,200;210,200;211,200"
120,"190,200;197,199;198,199;198,200;199,197;199,198;199,200;199,201;199,208;199,209;199,210;200,190;200,198;200,199;200,201;200,202;200,209;200,210;200,211;201,199;201,200;202,200;209,199;209,200;210,199;210,200"
121,"197,199;198,199;198,200;199,197;199,198;199,200;199,201;199,208;199,209;199,210;200,198;200,199;201,199;208,199;209,199;210,199"
122,"196,198;197,198;197,199;198,196;198,197;198,199;198,200;198,207;198,208;198,209;199,197;199,198;199,200;199,201;199,208;199,209;199,210;200,198;200,199;201,199;208,198;208,199;209,198;209,199"
123,"196,198;197,198;197,199;198,196;198,197;198,199;198,200;198,207;198,208;198,209;199,197;199,198;200,198;207,198;208,198;209,198"
124,"195,197;196,197;196,198;197,195;197,196;197,198;197,199;197,206;197,207;197,208;198,196;198,197;198,199;198,200;198,207;198,208;198,209;199,197;199,198;200,198;207,197;207,198;208,197;208,198"
125,"195,197;196,197;196,198;197,195;197,196;197,198;197,199;197,206;197,207;197,208;198,196;198,197;199,197;206,197;207,197;208,197"
126,"194,196;195,196;195,197;196,184;196,194;196,195;196,197;196,198;196,205;196,206;196,207;197,195;197,196;197,198;197,199;197,206;197,207;197,208;198,196;198,197;199,197;206,196;206,197;207,196;207,197"
127,"184,196;194,196;195,196;195,197;196,184;196,194;196,195;196,197;196,198;196,205;196,206;196,207;197,195;197,196;198,196;206,196;207,196"
128,"164,176;170,176;170,184;174,176;175,176;175,184;176,164;176,169;176,170;176,174;176,175;176,183;176,184;176,195;182,184;183,176;183,184;184,170;184,175;184,176;184,182;184,183;184,194;184,195;184,196;184,205;194,184;195,176;195,184;205,184"
129,"164,176;169,176;170,176;170,184;174,176;175,176;175,184;176,164;176,169;176,170;176,174;176,175;176,183;176,184;176,195;182,184;183,176;183,184;184,170;184,175;184,176;184,182;184,183;184,194;184,195;184,196;184,205;195,176;195,184;205,184"
130,"159,170;164,170;164,176;168,170;169,170;169,176;170,159;170,163;170,164;170,168;170,169;170,175;170,176;170,184;174,176;175,170;175,176;176,164;176,169;176,170;176,174;176,175;176,183;176,184;176,195;183,176;184,170;184,176;195,176"
131,"159,170;163,170;164,170;164,176;168,170;169,170;169,176;170,159;170,163;170,164;170,168;170,169;170,175;170,176;170,184;174,176;175,170;175,176;176,164;176,169;176,170;176,174;176,175;176,183;176,184;176,195;184,170;184,176;195,176"
132,"151,164;159,164;159,170;163,164;163,170;164,151;164,158;164,159;164,163;164,169;164,170;164,176;168,170;169,164;169,170;170,159;170,163;170,164;170,168;170,169;170,175;170,176;170,184;175,170;176,164;176,170;184,170"
133,"151,164;158,164;159,164;159,170;163,164;163,170;164,151;164,158;164,159;164,163;164,169;164,170;164,176;168,170;169,164;169,170;170,159;170,163;170,164;170,168;170,169;170,175;170,176;170,184;176,164;176,170;184,170"
134,"138,159;151,159;151,164;157,159;158,159;158,164;159,138;159,150;159,151;159,157;159,158;159,163;159,164;159,170;163,159;163,164;164,151;164,158;164,159;164,163;164,169;164,170;164,176;169,164;170,159;170,164;176,164"
