segment_idx,visible_edges,edge_count
76,"132,142;133,134;133,142;133,143;134,133;134,142;134,143;135,143;141,142;141,149;142,132;142,133;142,134;142,141;142,143;142,148;142,149;142,150;143,133;143,134;143,135;143,142;143,149;143,150;148,142;148,149;148,158;149,141;149,142;149,143;149,148;149,150;149,157;149,158;149,159;150,142;150,143;150,149;150,158;150,159;150,160;157,149;157,158;158,148;158,149;158,150;158,157;158,159;158,170;158,171;158,172;159,149;159,150;159,158;160,150;171,158;172,158",57
77,"123,133;124,133;124,134;125,133;125,134;126,134;132,133;132,142;133,123;133,124;133,125;133,132;133,134;133,141;133,142;133,143;134,124;134,125;134,126;134,133;134,135;134,142;134,143;135,134;135,143;141,133;141,142;141,149;142,132;142,133;142,134;142,141;142,143;142,148;142,149;142,150;143,133;143,134;143,135;143,142;143,149;143,150;148,142;148,149;149,141;149,142;149,143;149,148;149,150;149,157;149,158;149,159;150,142;150,143;150,149;157,149;158,149;159,149",58
78,"117,125;118,125;118,126;124,125;125,117;125,118;125,124;125,126;125,133;125,134;125,135;126,118;126,125;126,134;126,135;133,125;134,125;134,126;134,135;135,125;135,126;135,134;135,143;143,135",24
79,"117,125;118,125;124,125;124,134;125,117;125,118;125,124;125,126;125,133;125,134;125,135;126,125;126,134;126,135;133,125;133,134;133,143;134,124;134,125;134,126;134,133;134,135;134,142;134,143;135,125;135,126;135,134;135,143;142,134;142,143;142,150;143,133;143,134;143,135;143,142;143,149;143,150;149,143;149,150;150,142;150,143;150,149",42
80,"117,125;118,125;124,125;124,134;125,117;125,118;125,124;125,126;125,133;125,134;125,135;126,125;126,134;126,135;133,125;133,134;133,143;134,124;134,125;134,126;134,133;134,135;134,142;134,143;135,125;135,126;135,134;135,143;142,134;142,143;143,133;143,134;143,135;143,142;143,149;143,150;149,143;150,143",38
81,"104,118;105,118;117,118;117,125;118,104;118,105;118,117;118,124;118,125;118,126;124,118;124,125;124,134;125,117;125,118;125,124;125,126;125,133;125,134;125,135;126,118;126,125;126,134;126,135;133,125;133,134;134,124;134,125;134,126;134,133;134,135;134,142;134,143;135,125;135,126;135,134;142,134;143,134",38
82,"117,124;117,125;118,124;118,125;118,126;124,117;124,118;124,125;124,134;125,117;125,118;125,124;125,126;125,133;125,134;125,135;126,118;126,125;126,134;126,135;133,125;133,134;134,124;134,125;134,126;134,133;134,135;134,142;134,143;135,125;135,126;135,134;135,143;142,134;143,134;143,135",36
83,"118,126;124,134;125,126;125,133;125,134;125,135;126,118;126,125;126,134;126,135;133,125;133,134;134,124;134,125;134,126;134,133;134,135;134,142;134,143;135,125;135,126;135,134;135,143;142,134;143,134;143,135",26
84,"91,104;92,104;93,104;103,104;103,117;104,91;104,92;104,93;104,103;104,105;104,116;104,117;104,118;105,104;105,117;105,118;116,104;116,117;116,124;117,103;117,104;117,105;117,116;117,118;117,123;117,124;117,125;118,104;118,105;118,117;118,124;118,125;118,126;123,117;123,124;124,116;124,117;124,118;124,123;124,125;124,132;124,133;124,134;125,117;125,118;125,124;126,118;132,124;133,124;134,124",50
85,"79,92;80,92;91,92;91,104;92,78;92,79;92,80;92,91;92,93;92,103;92,104;92,105;93,92;93,104;93,105;94,105;103,92;103,104;103,117;104,91;104,92;104,93;104,103;104,105;104,116;104,117;104,118;105,92;105,93;105,94;105,104;105,106;105,117;105,118;106,105;116,104;116,117;116,124;117,103;117,104;117,105;117,116;117,118;117,123;117,124;117,125;118,104;118,105;118,117;118,124;118,125;118,126;123,117;123,124;124,116;124,117;124,118;124,123;124,125;124,132;124,133;124,134;125,117;125,118;125,124;126,118;133,124;134,124",68
