edge_start_node,edge_end_node,visible_segments,segment_count
134,124,77;79;80;81;82;83;84;85,8
134,125,77;78;79;80;81;82;83,7
134,126,77;78;79;80;81;82;83,7
134,133,76;77;79;80;81;82;83,7
134,135,77;78;79;80;81;82;83,7
134,142,76;77;79;80;81;82;83,7
134,143,76;77;79;80;81;82;83,7
135,125,78;79;80;81;82;83,6
135,126,78;79;80;81;82;83,6
135,134,77;78;79;80;81;82;83,7
135,143,76;77;78;79;80;82;83,7
136,127,56;57;58;59;60;61,6
136,128,55;56;57;58;59;60;61,7
136,137,56;57;58;59;60;61,6
136,144,56;57;59;60;61;62,6
137,127,56;57;58;59;60;61,6
137,128,55;56;57;58;59;60;61,7
137,129,54;55;56;57;58;59;60;61,8
137,136,56;57;58;59;60;61,6
137,138,55;56;57;58;59;60;61;62,8
137,144,56;57;58;59;60;61;62,7
137,145,56;57;58;59;60;61;62;63,8
138,128,55;57;58;59;60;61;62,7
138,129,54;55;57;58;59;60;62,7
138,130,55;58;59;60;62,5
138,137,55;56;57;58;59;60;61;62,8
138,139,55;58;59;60;62,5
138,144,55;56;57;58;59;60;62,7
138,145,55;58;59;60;62;63,6
138,146,55;58;59;60;62,5
139,129,57;54;55,3
139,130,,0
139,131,,0
139,138,55;58;59;60;62,5
139,140,,0
139,145,60;62;63,3
139,146,,0
139,147,,0
140,130,,0
140,131,,0
140,139,,0
140,146,,0
140,147,,0
141,132,,0
141,133,77,1
141,142,76;77,2
141,148,,0
141,149,75;76;77,3
142,132,76;77,2
142,133,76;77,2
142,134,76;77;79;80;81;82;83,7
142,141,76;77,2
142,143,80;76;77;79,4
142,148,76;77,2
142,149,75;76;77,3
142,150,75;76;77;79,4
143,133,80;76;77;79,4
143,134,76;77;79;80;81;82;83,7
143,135,76;77;78;79;80;82;83,7
143,142,80;76;77;79,4
143,149,75;76;77;79;80,5
143,150,75;76;77;79;80,5
144,136,56;57;59;60;61;62,6
144,137,56;57;58;59;60;61;62,7
144,138,55;56;57;58;59;60;62,7
144,145,58;59;60;62;63,5
144,153,59;62;63,3
144,154,59;62;63,3
145,137,56;57;58;59;60;61;62;63,8
145,138,55;58;59;60;62;63,6
145,139,60;62;63,3
145,144,58;59;60;62;63,5
145,146,60;62;63,3
145,153,59;60;62;63,4
145,154,60;62;63,3
145,155,60;62;63,3
146,138,55;58;59;60;62,5
146,139,,0
146,140,,0
146,145,60;62;63,3
146,147,,0
146,154,62;63,2
146,155,,0
146,156,,0
147,139,,0
147,140,,0
147,146,,0
147,155,,0
147,156,,0
148,141,,0
148,142,76;77,2
148,149,75;76;77,3
148,157,,0
148,158,75;76,2
149,141,75;76;77,3
149,142,75;76;77,3
149,143,75;76;77;79;80,5
149,148,75;76;77,3
149,150,75;76;77;79,4
149,157,75;76;77,3
149,158,75;76;77,3
149,159,75;76;77,3
150,142,75;76;77;79,4
150,143,75;76;77;79;80,5
150,149,75;76;77;79,4
150,158,75;76,2
150,159,75;76,2
150,160,74;75;76,3
151,152,67;68;69;70;71,5
151,162,67;68;69;70;71;72,6
151,163,67;68;69;70;71,5
152,151,67;68;69;70;71,5
152,162,67;68;69;70;71;72,6
152,163,67;68;69;70;71,5
152,164,65;66;67;68;69;71,6
153,144,59;62;63,3
153,145,59;60;62;63,4
153,154,62;63,2
153,165,64;65;63,3
153,166,64;63,2
153,167,63,1
154,144,59;62;63,3
154,145,60;62;63,3
154,146,62;63,2
154,153,62;63,2
154,155,62;63,2
154,166,64;62;63,3
154,167,62;63,2
154,168,62;63,2
155,145,60;62;63,3
155,146,,0
155,147,,0
155,154,62;63,2
155,156,,0
155,167,63,1
155,168,,0
155,169,,0
156,146,,0
156,147,,0
156,155,,0
156,168,,0
156,169,,0
157,148,,0
157,149,75;76;77,3
157,158,75;76,2
157,170,,0
157,171,,0
158,148,75;76,2
158,149,75;76;77,3
158,150,75;76,2
158,157,75;76,2
158,159,75;76,2
158,170,75;76,2
158,171,75;76,2
158,172,74;75;76,3
159,149,75;76;77,3
159,150,75;76,2
159,158,75;76,2
159,160,74;75,2
159,171,75,1
159,172,74;75,2
159,173,73;74;75,3
160,150,74;75;76,3
160,159,74;75,2
160,161,73;74;70,3
160,172,74;75,2
160,173,73;74,2
160,174,72;73;74,3
161,160,73;74;70,3
161,162,67;68;69;70;72;73;74,7
161,173,73;74;70,3
161,174,72;73;74;70,4
161,175,69;70;72;73;74,5
162,151,67;68;69;70;71;72,6
162,152,67;68;69;70;71;72,6
162,161,67;68;69;70;72;73;74,7
162,163,67;68;69;70;71;72,6
162,174,67;68;69;70;72;73;74,7
162,175,67;68;69;70;72;73,6
162,176,66;67;68;69;70;72,6
163,151,67;68;69;70;71,5
163,152,67;68;69;70;71,5
163,162,67;68;69;70;71;72,6
163,164,65;66;67;68;69;70;71,7
163,175,67;68;69;70;71;72;73,7
163,176,66;67;68;69;70;71;72,7
163,177,65;66;67;68;69;70;71;72,8
164,152,65;66;67;68;69;71,6
164,163,65;66;67;68;69;70;71,7
164,165,64;65;66;68;69,5
164,176,65;66;68;69;70;71;72,7
164,177,65;66;68;69,4
164,178,64;65;66;68;69,5
165,153,64;65;63,3
165,164,64;65;66;68;69,5
165,166,64;65,2
165,177,64;65;66;68,4
165,178,64;65;66,3
165,179,64;65,2
166,153,64;63,2
166,154,64;62;63,3
166,165,64;65,2
166,167,64;63,2
166,178,64;65;66,3
166,179,64;65,2
166,180,64,1
167,153,63,1
167,154,62;63,2
167,155,63,1
167,166,64;63,2
167,168,63,1
167,179,64;65;63,3
167,180,64;63,2
167,181,63,1
168,154,62;63,2
168,155,,0
168,156,,0
168,167,63,1
168,169,,0
168,180,,0
168,181,,0
169,155,,0
169,156,,0
169,168,,0
169,181,,0
170,157,,0
170,158,75;76,2
170,171,,0
170,182,,0
171,157,,0
171,158,75;76,2
171,159,75,1
171,170,,0
171,172,74;75,2
171,182,,0
171,183,,0
172,158,74;75;76,3
172,159,74;75,2
172,160,74;75,2
172,171,74;75,2
172,173,73;74;75,3
172,182,74;75,2
172,183,74;75,2
172,184,74;75,2
173,159,73;74;75,3
173,160,73;74,2
173,161,73;74;70,3
173,172,73;74;75,3
173,174,72;73;74,3
173,183,73;74,2
173,184,73;74,2
173,185,73;74,2
174,160,72;73;74,3
174,161,72;73;74;70,4
174,162,67;68;69;70;72;73;74,7
174,173,72;73;74,3
174,175,72;73;74;70,4
174,184,72;73;74,3
174,185,72;73;74,3
174,186,72;73;74,3
175,161,69;70;72;73;74,5
175,162,67;68;69;70;72;73,6
175,163,67;68;69;70;71;72;73,7
175,174,72;73;74;70,4
175,176,66;68;69;70;72;73,6
175,185,72;73;70,3
175,186,72;73;70,3
175,187,72;73;70,3
176,162,66;67;68;69;70;72,6
176,163,66;67;68;69;70;71;72,7
176,164,65;66;68;69;70;71;72,7
176,175,66;68;69;70;72;73,6
176,177,65;66;68;69;72,5
176,186,72;66;68;69,4
176,187,72;66;68;69,4
176,188,72;66;68;69,4
177,163,65;66;67;68;69;70;71;72,8
177,164,65;66;68;69,4
177,165,64;65;66;68,4
177,176,65;66;68;69;72,5
177,178,64;65;66,3
177,187,65;66,2
177,188,65;66,2
177,189,64;65;66,3
178,164,64;65;66;68;69,5
178,165,64;65;66,3
178,166,64;65;66,3
178,177,64;65;66,3
178,179,64;65;66,3
178,188,64;65;66,3
178,189,64;65;66,3
178,190,64;65;66,3
179,165,64;65,2
179,166,64;65,2
179,167,64;65;63,3
179,178,64;65;66,3
179,180,64;65,2
179,189,64;65,2
179,190,64;65,2
179,191,64;65,2
180,166,64,1
180,167,64;63,2
180,168,,0
180,179,64;65,2
180,181,,0
180,190,,0
180,191,,0
180,192,,0
181,167,63,1
181,168,,0
181,169,,0
181,180,,0
181,191,,0
181,192,,0
182,170,,0
182,171,,0
182,172,74;75,2
182,183,,0
183,171,,0
183,172,74;75,2
183,173,73;74,2
183,182,,0
183,184,,0
184,172,74;75,2
184,173,73;74,2
184,174,72;73;74,3
184,183,,0
184,185,,0
185,173,73;74,2
185,174,72;73;74,3
185,175,72;73;70,3
185,184,,0
185,186,,0
186,174,72;73;74,3
186,175,72;73;70,3
186,176,72;66;68;69,4
186,185,,0
186,187,,0
187,175,72;73;70,3
187,176,72;66;68;69,4
187,177,65;66,2
187,186,,0
187,188,,0
188,176,72;66;68;69,4
188,177,65;66,2
188,178,64;65;66,3
188,187,,0
188,189,,0
189,177,64;65;66,3
189,178,64;65;66,3
189,179,64;65,2
189,188,,0
189,190,,0
190,178,64;65;66,3
190,179,64;65,2
190,180,,0
190,189,,0
190,191,,0
191,179,64;65,2
191,180,,0
191,181,,0
191,190,,0
191,192,,0
192,180,,0
